ip,whois_network_age_days,provider_is_hosting,num_distinct_ports,port_count_bucket,has_non_web_ports,http_observed,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_suspicious_token_count,dns_has_auth_token,dns_has_brand_token,dns_name_depth,dns_has_punycode,dns_has_digit_hyphen_pattern,label
150.171.28.10,7.993282328101591,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,3,1,1,1.38,0,1,0
216.239.32.29,9.04085606398372,1,1.0986122886681096,2_3,0,1,0,1,1,1,unknown,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,1,0,1,1.27,0,1,0
150.171.22.12,7.993282328101591,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.813444599510896,0.6931471805599453,1,0,0.0,1,0,0,0,1.1875,0,1,0
87.240.132.72,8.541300266759471,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.07,0,1,0
170.114.52.2,7.055312843339752,1,1.0986122886681096,2_3,0,1,0,0,1,1,edge_or_cdn,1,ov_ev,6.9975959829819265,1.0986122886681096,1,0,0.0,1,0,0,0,1.0,0,0,0
17.253.144.10,9.418492105471156,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,ov_ev,6.75343791859778,1.0986122886681096,1,1,0.0,1,2,0,1,1.04,0,0,0
13.107.138.10,8.07215530818825,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,2,1,0,1.37,0,1,0
151.101.2.132,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,dv,6.930494765951626,0.6931471805599453,1,0,0.0,1,3,1,0,0.8,0,1,0
192.0.78.17,8.308938252595778,0,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,dv,6.71901315438526,0.6931471805599453,1,1,0.0,1,1,0,0,1.11,0,1,0
111.63.65.247,0.0,0,1.0986122886681096,2_3,0,1,0,1,1,0,unknown,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,3,0,1,1.09,0,1,0
35.186.247.156,7.878155336503324,1,0.6931471805599453,1,0,1,0,1,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,1.46,0,1,0
162.159.133.234,8.262558973010657,1,2.639057329615259,4_plus,1,1,0,0,1,1,edge_or_cdn,1,dv,6.705639094860003,1.0986122886681096,1,1,0.0,1,0,0,0,0.625,0,0,0
162.125.248.18,7.994632311431825,0,1.0986122886681096,2_3,0,1,0,0,1,1,other,1,ov_ev,6.727431724850855,0.6931471805599453,1,1,0.0,1,0,0,0,0.0,0,0,0
95.101.123.96,8.53070154144103,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
172.66.0.227,8.081165777725433,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,1.0246913580246915,1,1,0
23.185.0.4,7.862497197230545,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,dv,6.7580945044277305,0.6931471805599453,1,1,0.0,1,1,0,0,0.45,0,1,0
83.224.69.224,8.760296220470051,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.694562058521095,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
52.96.172.98,7.993282328101591,0,2.1972245773362196,4_plus,1,1,0,1,0,1,common_self_managed,1,ov_ev,6.950814768442584,0.6931471805599453,1,0,0.0,1,2,0,0,1.39,0,1,0
104.16.248.249,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.990256500493881,0.6931471805599453,1,0,0.0,1,0,0,0,0.875,0,0,0
204.79.197.212,9.26955223160803,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.893656354602635,0.6931471805599453,1,0,0.0,1,1,0,0,1.41,0,1,0
216.58.206.33,8.379768515504566,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,1.0,0,1,0
140.82.121.3,7.639161171659173,0,1.3862943611198906,2_3,1,1,0,1,0,1,unknown,1,dv,6.716594773520978,1.0986122886681096,1,1,0.0,1,0,0,0,0.7777777777777778,0,0,0
151.101.3.1,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,ov_ev,6.853299093186078,0.6931471805599453,1,0,0.0,1,4,1,1,1.06,0,1,0
31.177.80.4,7.944492163932159,0,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.5,0,0,0
213.180.204.242,8.548691858475609,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,ov_ev,6.734591659972948,1.0986122886681096,1,0,0.0,1,2,0,1,1.37,0,1,0
192.0.80.241,8.308938252595778,0,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,dv,6.7580945044277305,0.6931471805599453,1,1,0.0,1,0,0,0,0.75,0,0,0
217.70.185.65,8.463792414689122,0,1.0986122886681096,2_3,0,1,0,0,1,0,other,1,dv,6.790097235513905,1.0986122886681096,1,0,0.0,1,1,0,0,0.8666666666666667,0,0,0
203.205.254.157,0.0,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,ov_ev,6.966024187106113,0.6931471805599453,1,0,0.0,1,1,0,0,0.3333333333333333,1,1,0
104.16.132.229,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,1,edge_or_cdn,1,dv,6.725033642166843,1.0986122886681096,1,1,0.0,1,1,0,0,1.23,0,1,0
23.55.104.19,8.4368504387337,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
89.221.239.1,5.262690188904886,0,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,ov_ev,6.963189985870238,1.0986122886681096,1,0,0.0,1,2,0,0,0.9047619047619048,0,0,0
204.93.207.22,8.57866451350434,0,1.791759469228055,4_plus,1,1,0,0,1,0,unknown,1,dv,6.694562058521095,0.6931471805599453,1,1,0.0,1,0,0,0,1.0,0,0,0
98.82.161.185,0.0,1,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,dv,7.020190708311925,1.0986122886681096,1,0,0.0,1,2,0,1,0.8333333333333334,0,0,0
194.226.65.229,7.4821189235521155,0,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
142.251.208.9,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,0,0,0,0,0.0,0,0,0
172.217.20.142,8.361240889642351,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,1.0,0,1,0
34.160.35.160,6.9930151229329605,1,0.6931471805599453,1,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.0,0,0,0
72.21.206.80,8.845345196421732,1,0.6931471805599453,1,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,0,1,1.17,0,1,0
20.231.239.246,7.726212650507529,0,1.0986122886681096,2_3,0,1,0,0,0,1,common_self_managed,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,3,1,1,0.58,0,0,0
35.186.224.24,7.878155336503324,1,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,ov_ev,6.693323668269949,0.6931471805599453,1,1,0.0,1,3,1,1,1.0740740740740742,0,0,0
142.251.208.164,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,0,0,0,0,0.0,0,0,0
151.101.193.140,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,ov_ev,6.771935555839602,0.6931471805599453,1,0,0.0,1,3,1,0,1.44,0,1,0
13.107.6.156,8.07215530818825,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.813444599510896,0.6931471805599453,1,0,0.0,1,3,1,1,1.21,0,0,0
95.100.181.17,8.497806477616047,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.694562058521095,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
151.101.193.6,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,0,other,1,dv,6.930494765951626,0.6931471805599453,1,0,0.0,1,0,0,0,1.25,0,1,0
142.250.201.68,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,0,0,0,0,0.0,0,0,0
8.8.4.4,1.6094379124341003,1,1.3862943611198906,2_3,1,1,0,1,1,1,unknown,1,dv,6.734591659972948,1.0986122886681096,1,1,0.0,1,4,1,1,0.65,0,1,0
104.17.156.85,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,1,edge_or_cdn,1,dv,6.747586526829315,0.6931471805599453,1,1,0.0,1,1,0,0,1.0256410256410255,0,1,0
74.6.143.25,8.784468454090355,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,ov_ev,6.71174039505618,0.6931471805599453,1,0,0.0,1,2,0,0,1.4137931034482758,0,1,0
157.240.203.60,8.056743774975313,0,1.3862943611198906,2_3,1,1,0,0,1,1,other,1,ov_ev,6.661854740545311,0.6931471805599453,1,1,0.0,1,0,0,0,2.0,0,1,0
18.66.195.95,6.946975992135418,1,1.0986122886681096,2_3,0,1,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.0,0,0,0
185.199.111.153,7.805882040228621,0,1.0986122886681096,2_3,0,1,0,0,1,1,edge_or_cdn,1,dv,6.680854678790215,1.0986122886681096,1,0,0.0,1,3,0,1,0.75,0,1,0
185.15.58.224,8.296297112642508,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,dv,6.682108597449809,0.6931471805599453,1,1,0.0,1,0,0,0,0.0,0,0,0
159.60.134.0,6.478509642208569,0,0.6931471805599453,1,0,1,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,0.7575757575757576,0,0,0
20.112.250.133,7.726212650507529,0,1.0986122886681096,2_3,0,1,0,0,0,1,common_self_managed,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,3,1,1,0.64,0,0,0
45.60.131.229,8.09376775793108,0,1.0986122886681096,2_3,1,0,0,0,0,0,other,1,ov_ev,6.848005274576363,0.6931471805599453,1,0,0.0,1,0,0,0,0.0,0,0,0
13.107.246.60,8.07215530818825,0,1.0986122886681096,2_3,0,1,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,1,0,0.21,0,0,0
52.58.199.22,7.803843303538772,1,1.0986122886681096,2_3,0,1,0,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.38461538461538464,0,0,0
23.196.137.248,8.249575150000199,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.97166860472579,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
204.79.197.219,9.26955223160803,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,2,0,1,1.11,0,1,0
184.25.52.7,8.482808764554406,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.762729506931879,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
40.112.243.53,8.081784206935001,0,1.3862943611198906,2_3,1,1,0,0,1,0,common_self_managed,1,ov_ev,6.849066282633458,0.6931471805599453,1,0,0.0,1,4,1,1,0.94,0,1,0
52.200.46.40,8.020927718981577,1,0.6931471805599453,1,0,1,0,0,0,1,unknown,1,dv,7.010311867307229,1.0986122886681096,1,0,0.0,1,1,0,1,0.0,0,0,0
172.217.18.8,8.361240889642351,1,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,1.0,0,1,0
104.18.13.15,8.17948018535889,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,1,0,0.84,0,1,0
20.236.44.162,7.726212650507529,0,1.0986122886681096,2_3,0,1,0,0,0,1,common_self_managed,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,3,1,1,0.7,0,0,0
195.47.247.9,8.927048647825695,0,1.0986122886681096,2_3,0,1,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.5555555555555556,0,0,0
157.240.203.174,8.056743774975313,0,1.0986122886681096,2_3,0,1,0,0,1,1,other,1,ov_ev,6.661854740545311,0.6931471805599453,1,1,0.0,0,0,0,0,0.0,0,0,0
5.255.255.77,8.269756947532983,0,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.855408798609928,1.0986122886681096,1,0,0.0,1,2,0,0,0.8048780487804879,1,1,0
142.250.185.132,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,1.0,0,1,0
23.20.255.17,7.212294468500341,1,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
185.26.182.104,8.193676665955241,0,1.0986122886681096,2_3,0,1,0,1,1,0,common_self_managed,1,dv,7.0326242610280065,1.0986122886681096,1,0,0.0,1,0,0,0,0.0,0,0,0
198.143.164.252,8.354203562921775,0,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,dv,6.741700694652055,0.6931471805599453,1,1,0.0,1,2,1,0,1.51,0,1,0
124.251.34.141,0.0,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,dv,6.933423025730715,1.0986122886681096,1,0,0.0,1,0,0,0,0.0,0,0,0
151.101.2.146,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,dv,6.579251212010101,0.6931471805599453,1,1,0.0,1,0,0,0,1.1666666666666667,0,0,0
151.101.0.84,7.969703583278656,0,1.0986122886681096,2_3,0,1,0,0,0,1,other,1,ov_ev,6.873163834212518,0.6931471805599453,1,0,0.0,1,1,0,0,0.76,1,1,0
34.149.46.130,6.9930151229329605,1,1.0986122886681096,2_3,0,1,0,0,0,1,unknown,1,ov_ev,6.833031732786201,0.6931471805599453,1,0,0.0,1,1,1,0,1.0,0,1,0
157.240.203.35,8.056743774975313,0,1.0986122886681096,2_3,0,1,0,0,1,1,other,1,ov_ev,6.661854740545311,0.6931471805599453,1,1,0.0,0,0,0,0,0.0,0,0,0
216.58.206.67,8.379768515504566,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,1,0,1,0.8,0,1,0
142.250.184.238,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,0.3,0,0,0
172.217.18.14,8.361240889642351,1,0.0,1,0,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.5,0,1,0
5.61.23.39,6.313548046277095,0,0.6931471805599453,1,0,1,0,0,0,0,unknown,1,ov_ev,6.821107472256465,1.3862943611198906,1,0,0.0,1,0,0,0,0.5,0,0,0
18.200.8.190,7.7437032581737535,1,1.0986122886681096,2_3,0,1,0,0,0,0,unknown,1,none_or_unknown,6.670766320845874,1.0986122886681096,1,1,0.0,0,0,0,0,0.0,0,0,0
142.250.187.238,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,1.0,0,1,0
147.67.34.45,9.889591447344017,0,1.0986122886681096,2_3,0,1,0,0,1,0,unknown,1,ov_ev,6.863803391452954,0.6931471805599453,1,0,0.0,1,0,0,0,0.0,0,0,0
184.25.52.209,8.482808764554406,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.947937068614969,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
128.116.13.3,7.660114319173928,0,1.0986122886681096,2_3,0,1,0,0,1,1,unknown,1,ov_ev,6.8966943316227125,1.0986122886681096,1,0,0.0,0,0,0,0,0.0,0,0,0
172.217.23.110,8.361240889642351,1,1.0986122886681096,2_3,0,1,0,1,1,0,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,1.0,0,1,0
83.224.69.202,8.760296220470051,0,1.0986122886681096,2_3,0,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.694562058521095,0.6931471805599453,1,0,0.0,0,0,0,0,0.0,0,0,0
35.190.14.201,7.878155336503324,1,0.6931471805599453,1,0,1,0,1,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,1,1,0.91,0,1,0
142.251.141.66,8.352318548226004,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,0,0,0,0,0.0,0,0,0
217.20.156.72,6.601230118728877,0,0.6931471805599453,1,0,0,0,0,0,0,unknown,1,ov_ev,6.9584483932976555,1.0986122886681096,1,0,0.0,1,1,0,0,0.5454545454545454,0,0,0
149.154.167.99,8.129174996911793,0,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,dv,6.893656354602635,1.0986122886681096,1,0,0.0,1,0,0,0,1.02,0,1,0
20.76.201.171,7.726212650507529,0,1.0986122886681096,2_3,0,1,0,0,0,1,common_self_managed,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,3,1,1,0.62,0,0,0
172.217.16.174,8.361240889642351,1,1.0986122886681096,2_3,0,1,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,0,0,0,0.6666666666666666,0,1,0
13.32.220.58,7.632885505395133,1,1.0986122886681096,2_3,0,1,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.0,0,0,0
108.139.243.114,6.881411303642535,1,1.0986122886681096,2_3,0,1,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
67.199.248.11,7.927324360309794,1,1.0986122886681096,2_3,0,1,0,1,1,1,common_self_managed,1,ov_ev,6.703188113240863,0.6931471805599453,1,0,0.0,1,0,0,0,0.5,0,0,0
211.45.27.231,0.0,0,1.0986122886681096,2_3,0,1,1,0,1,0,unknown,1,ov_ev,6.756932389247553,1.0986122886681096,1,0,0.0,1,1,0,0,0.6666666666666666,0,0,0
